Depth,Arsenic,Iron,Manganese
260,0.0001,0.15,0.31
80,0.0001,0.11,0.33
260,0.0001,0.11,0.49
240,0.0001,0.09,0
485,0.0001,0.06,0.05
380,0.0001,2.65,1.24
100,0.0001,0.22,0.1
25,0.0001,0.15,1.12
175,0.274,0.62,0.09
200,0.003,1.72,0.53
250,0.005,0.59,0.18
160,0.001,1.38,0.34
190,0.001,0.99,0.88
100,0.001,0.57,0.97
70,0.04,10.66,1.05
60,0.003,0.36,0.52
65,0.001,3.18,0.1
160,0.002,0.93,0.87
640,0.001,1.31,1.23
70,0.001,0.41,0.22
170,0.001,0.25,1.58
220,0.001,0.65,0.95
240,0.598,1.61,1.39
200,0.16,1.77,1.2
75,0.003,5.56,0.34
75,0.017,0.96,0.49
220,0.258,1.04,2.61
680,0.008,1.99,0.27
270,0.003,0.89,1.38
245,0.082,3.79,1.64
180,0.015,6.19,0.73
580,0.004,0.65,3.41
80,0.002,1.29,3.94
90,0.002,2.3,2.95
220,0.002,2.8,1.45
160,0.009,10.36,3.49
100,0.002,0.43,5.34
220,0.001,10.04,5.75
100,0.001,2.78,0.45
560,0.001,0.22,0.17
600,0.001,0.35,1.18
300,0.001,0.2,0.38
190,0.001,0.3,0.33
100,0.001,0.49,1.47
180,0.001,1.54,1.1
70,0.001,1.74,0.08
220,0.125,7.54,0.25
290,0.142,6.97,0.04
105,0.007,2.93,0.08
80,0.002,0.99,0.17
80,0.002,2.1,0.11
180,0.001,0.31,0.01
90,0.001,0.75,0.01
100,0.409,1.24,0.72
70,0.127,7.95,0.31
160,0.066,4.67,0.51
170,0.059,3.63,0.57
184,0.111,13.52,2.06
35,0.002,0.52,0.39
175,0.001,0.31,1.67
190,0.001,0.77,2.05
220,0.001,0.5,0.16
300,0.001,0.36,0.47
